Match,Teams,Result
2020/4/11 LSB VS KT,SANDBOX Gaming,0
2020/4/11 OMG VS GD,LGD Gaming,2
2020/4/11 OMG VS GD,Oh My God,0
2020/4/11 RNG VS RW,Rogue Warriors,2
2020/4/11 RNG VS RW,Royal Never Give Up,1
2020/4/11 SP VS HLE,Hanwha Life Esports,1
2020/4/11 SP VS HLE,SeolHaeOne Prince,2
2020/4/11 WE VS ES,eStar,2
2020/4/11 WE VS ES,Team WE,0
2020/4/12 DRX VS AF,Afreeca Freecs,1
2020/4/12 DRX VS AF,DRX,2
2020/4/12 EDG VS FPX,EDward Gaming,1
2020/4/12 EDG VS FPX,FunPlus Phoenix,2
2020/4/12 HLE VS GEN,Gen.G,1
2020/4/12 HLE VS GEN,Hanwha Life Esports,2
2020/4/12 IG VS BLG,Bilibili Gaming,1
2020/4/12 IG VS BLG,Invictus Gaming,2
2020/4/12 SN VS DMO,Dominus Esports,2
2020/4/12 SN VS DMO,Suning,1
2020/4/13 LNG VS RNG,LNG Esports,0
2020/4/13 LNG VS RNG,Royal Never Give Up,2
2020/4/13 OMG VS ES,eStar,2
2020/4/13 OMG VS ES,Oh My God,0
2020/4/13 TES VS V5,Top Esports,2
2020/4/13 TES VS V5,Victory Five,0
2020/4/14 JDG VS RW,JD Gaming,2
2020/4/14 JDG VS RW,Rogue Warriors,0
2020/4/14 LGD VS BLG,Bilibili Gaming,2
2020/4/14 LGD VS BLG,LGD Gaming,0
2020/4/14 VG VS SN,Suning,2
2020/4/14 VG VS SN,Vici Gaming,1
2020/4/15 DWG VS LSB,DAMWON Gaming,2
2020/4/15 DWG VS LSB,SANDBOX Gaming,1
2020/4/15 EDG VS OMG,EDward Gaming,2
2020/4/15 EDG VS OMG,Oh My God,0
2020/4/15 GEN VS KT,Gen.G,2
2020/4/15 GEN VS KT,KT Rolster,1
2020/4/15 IG VS WE,Invictus Gaming,2
2020/4/15 IG VS WE,Team WE,1
2020/4/15 RNG VS DMO,Dominus Esports,2
2020/4/15 RNG VS DMO,Royal Never Give Up,0
2020/4/15 T1 VS AF,Afreeca Freecs,0
2020/4/15 T1 VS AF,T1,2
2020/4/16 DRX VS SP,DRX,2
2020/4/16 DRX VS SP,SeolHaeOne Prince,1
2020/4/16 GRF VS HLE,Griffin,2
